h_6_0,h_6_1
0.003265757,0.99673426
0.0032695325,0.99673045
0.0032653548,0.99673456
0.99908733,0.00091263937
0.0032681718,0.9967319
0.9991653,0.0008346718
0.0032692621,0.9967307
0.9990876,0.00091246597
0.003265574,0.99673444
0.99916565,0.0008344213
0.0032655708,0.99673444
0.9990883,0.0009116942
0.9990877,0.0009123321
0.0032701169,0.99672985
0.99908745,0.0009125041
0.0032681373,0.9967319
0.0032656032,0.9967344
0.003265543,0.99673444
0.9990677,0.00093228905
0.0032698452,0.9967302
0.003265321,0.9967347
0.99908745,0.0009125929
0.0032682118,0.99673176
0.9990683,0.0009317377
0.003265352,0.9967347
0.9991617,0.00083833485
0.0032692777,0.9967307
0.9991653,0.00083468173
0.99908376,0.0009162443
0.99908733,0.0009126124
0.0032675785,0.9967325
0.9991648,0.0008351539
0.0032659094,0.99673414
0.9991654,0.00083458435
0.003266004,0.996734
0.0032654142,0.99673456
0.0032706687,0.9967294
0.9990871,0.00091287546
0.9991616,0.0008384023
0.00326556,0.99673444
0.9991647,0.00083528203
0.9991623,0.00083774514
0.9990682,0.0009318687
0.99916506,0.00083499245
0.99916494,0.0008350815
0.0032681313,0.9967319
0.99908733,0.0009127216
0.9990695,0.0009305719
0.9990845,0.0009155505
0.9991617,0.0008383177
0.003265349,0.9967347
0.99908376,0.0009162871
0.0032695949,0.99673045
0.9991616,0.0008383799
0.99906987,0.00093017827
0.9991654,0.000834609
0.0032695965,0.99673045
0.0032701823,0.99672985
0.9990878,0.0009122487
0.0032654575,0.99673456
0.003265352,0.9967347
0.0032676246,0.99673235
0.99916184,0.0008382058
0.9990689,0.0009310587
0.0032657913,0.99673426
0.0032657804,0.99673426
0.0032653084,0.9967347
0.0032655615,0.99673444
0.0032653937,0.99673456
0.9991621,0.00083789515
0.00326815,0.9967319
0.9991653,0.00083473546
0.9991652,0.00083478785
0.0032656284,0.9967344
0.0032707106,0.99672925
0.0032655569,0.99673444
0.0032675941,0.9967325
0.0032700796,0.99672997
0.003265655,0.9967344
0.0032701727,0.99672985
0.9990879,0.0009120813
0.99908745,0.0009125381
0.0032652772,0.9967347
0.99916184,0.00083814026
0.9990858,0.0009141811
0.0032691564,0.9967308
0.0032681671,0.9967319
0.9990876,0.00091246644
0.99916494,0.00083504565
0.0032657587,0.99673426
0.0032696459,0.9967303
0.9991646,0.00083538785
0.99906784,0.00093222514
0.0032702426,0.99672973
0.0032697176,0.9967303
0.0032701215,0.99672985
0.99908566,0.0009143057
0.9991648,0.000835212
0.9991647,0.0008353601
0.9991621,0.00083794584
0.99916196,0.00083806727
0.0032655413,0.99673444
0.0032656284,0.9967344
0.9991652,0.0008348775
0.9991617,0.0008382993
0.9991647,0.00083525735
0.99908435,0.0009156596
0.0032701106,0.99672985
0.0032653704,0.99673456
0.9990858,0.0009142491
0.9990872,0.0009127741
0.0032656048,0.9967344
0.99908614,0.00091391377
0.9991648,0.0008351503
0.9991646,0.00083546195
0.9991647,0.00083534815
0.003265793,0.99673426
0.0032655443,0.99673444
0.9991648,0.00083522
0.0032681623,0.9967319
0.0032653953,0.99673456
0.0032653578,0.99673456
0.0032659047,0.99673414
0.003265807,0.99673426
0.9990884,0.0009116439
0.99908745,0.00091257633
0.0032681187,0.9967319
0.0032653594,0.99673456
0.99908197,0.00091800943
0.0032653164,0.9967347
0.003267623,0.99673235
0.003269618,0.9967303
0.9990859,0.0009141262
0.99908423,0.00091570575
0.0032681841,0.9967319
0.9991622,0.0008378257
0.9990876,0.0009123807
0.0032681609,0.9967319
0.0032706838,0.99672925
0.0032697238,0.9967303
0.9991653,0.0008346968
0.9991616,0.0008383607
0.003269186,0.9967308
0.0032700843,0.99672997
0.99908185,0.0009181958
0.9990876,0.0009124163
0.0032698372,0.9967302
0.99916136,0.0008386276
0.003265349,0.9967347
0.003268122,0.9967319
0.003266164,0.9967339
0.9990859,0.00091404084
0.0032680922,0.9967319
0.9991616,0.0008383663
0.9990878,0.0009122138
0.99916136,0.0008386332
0.0032676558,0.99673235
0.9991648,0.0008351467
0.003267681,0.99673235
0.0032702629,0.99672973
0.99916553,0.0008345303
0.0032653986,0.99673456
0.9990872,0.00091283815
0.9991623,0.00083769555
0.0032676747,0.99673235
0.999086,0.00091396074
0.0032676747,0.99673235
0.99906904,0.0009310171
0.0032656533,0.9967344
0.0032656065,0.9967344
0.0032654093,0.99673456
0.0032681962,0.99673176
0.99906653,0.00093344186
0.0032658163,0.99673426
0.0032661217,0.9967339
0.0032696242,0.9967303
0.99908745,0.0009125903
0.003267631,0.99673235
0.0032653827,0.99673456
0.0032654544,0.99673456
0.9991617,0.0008382833
0.9991623,0.0008376492
0.0032676512,0.99673235
0.9991615,0.00083855976
0.0032676093,0.99673235
0.0032652772,0.9967347
0.99916553,0.00083450245
0.003265318,0.9967347
0.0032707262,0.99672925
0.99916136,0.0008387012
0.0032676372,0.99673235
0.9991621,0.00083790475
0.0032655476,0.99673444
0.9990683,0.0009317456
0.0032700875,0.99672997
0.9990872,0.00091274764
0.9991621,0.00083793583
0.99916506,0.0008349295
0.9990884,0.0009115735
0.99916553,0.0008344491
0.99916136,0.0008386948
0.0032682056,0.99673176
0.9991615,0.0008385577
0.9990839,0.00091613346
