h_1_0,h_1_1,h_1_2,h_1_3,h_1_4,h_1_5,h_1_6,h_1_7,h_1_8,h_1_9,h_1_10,h_1_11,h_1_12,h_1_13,h_1_14
0.0,0.0,0.098036945,0.0,0.16455883,0.23360105,0.0,0.0,0.0,0.36582622,0.21855089,0.124390826,0.2511514,0.32008776,0.0063409936
0.16836473,0.0,1.3659273,0.0,0.0,0.12859476,0.76550883,0.0,0.46950772,0.0,0.0,1.3924035,0.60748684,0.0,0.0
0.0,0.0,0.0866389,0.0,0.13426885,0.20277385,0.0,0.0,0.059501126,0.4186005,0.16496705,0.17853197,0.24893264,0.37125462,0.0
0.0,0.0,0.2440838,0.0,0.26600808,0.2889843,0.0,0.0,0.013498999,0.31085348,0.16638485,0.24592032,0.33956906,0.2812054,0.0
0.0,0.0,0.15997183,0.0,0.24899648,0.28467572,0.0,0.0,0.0,0.27254894,0.26368102,0.11155376,0.28182113,0.2533961,0.028050482
0.0,0.0,0.109435,0.0,0.1948488,0.26442826,0.0,0.0,0.0,0.31305197,0.27213475,0.07024966,0.25337017,0.2689209,0.0668595
0.0,0.0,0.18771258,0.0,0.24256423,0.24326874,0.0027420819,0.0,0.101246506,0.33759442,0.14805956,0.2611402,0.30583462,0.34020504,0.0
0.0,0.27541837,0.42649683,0.0,0.0,0.0,0.95506835,0.0,0.5185385,0.0,0.08198911,0.48314822,0.0,0.0,0.21822356
0.0,0.026944604,0.24951506,0.0,0.33535624,0.2203739,0.16784427,0.0,0.12355964,0.23346633,0.17145294,0.35292545,0.36427337,0.25461555,0.0
0.46535486,0.15751588,0.49153355,0.0,0.0,0.0,1.6998829,0.0,0.4063051,0.0,0.0,1.337985,0.0,0.0,0.0
0.0,0.0,0.18617222,0.0,0.09546969,0.20381261,0.087163724,0.0,0.0,0.26238114,0.18611038,0.24831139,0.21401577,0.3308077,0.0
0.0,0.42646512,0.48458767,0.0,0.0,0.0,1.393753,0.0,0.6699531,0.0,0.0,0.82023466,0.0,0.10187256,0.0
0.0,0.0,0.0866389,0.0,0.13426885,0.20277385,0.0,0.0,0.059501126,0.4186005,0.16496705,0.17853197,0.24893264,0.37125462,0.0
0.0,0.0,0.18771258,0.0,0.24256423,0.24326874,0.0027420819,0.0,0.101246506,0.33759442,0.14805956,0.2611402,0.30583462,0.34020504,0.0
0.0,0.0,0.109435,0.0,0.1948488,0.26442826,0.0,0.0,0.0,0.31305197,0.27213475,0.07024966,0.25337017,0.2689209,0.0668595
0.0,0.0,0.109435,0.0,0.1948488,0.26442826,0.0,0.0,0.0,0.31305197,0.27213475,0.07024966,0.25337017,0.2689209,0.0668595
