h_2_0,h_2_1,h_2_2,h_2_3
1.0,-0.94446045,-1.0,0.92125326
1.0,-0.81277144,-1.0,-0.9651242
0.9999853,-0.06980246,-1.0,-1.0
0.9558563,-0.9578631,-1.0,-1.0
-1.0,0.92160416,-1.0,-1.0
1.0,-0.55156696,-0.99956435,0.9964215
0.9999999,-0.80713695,-1.0,-0.999999
0.9999835,-0.2338209,-1.0,-1.0
1.0,-0.5871387,-0.9985156,0.99906856
0.998746,-0.971808,-1.0,-1.0
1.0,0.49974713,0.58952284,0.9998746
-1.0,0.9191311,-1.0,-1.0
1.0,-0.7556945,-1.0,-0.99735975
1.0,-0.797977,-1.0,-0.9893802
0.9889201,-0.86322516,-1.0,-1.0
-1.0,-0.961267,-1.0,-1.0
0.991716,-0.9706862,-1.0,-1.0
0.9999807,0.021564715,-1.0,-1.0
-0.9999979,-0.99942833,-1.0,-1.0
0.9529727,-0.96525145,-1.0,-1.0
0.9999998,-0.8203658,-1.0,-0.9999943
1.0,-0.9547617,-1.0,0.9669377
1.0,-0.6836659,-0.9998304,0.9975895
1.0,-0.8083812,-1.0,-0.9999997
0.99870217,-0.980712,-1.0,-1.0
-0.9999999,-0.970972,-1.0,-1.0
0.9859419,-0.92547196,-1.0,-1.0
0.99918413,-0.8354608,-1.0,-1.0
0.9999861,-0.17804396,-1.0,-1.0
0.99682057,-0.94830555,-1.0,-1.0
0.99998605,-0.44137084,-1.0,-1.0
0.99921113,-0.85321033,-1.0,-1.0
0.9999843,-0.24713758,-1.0,-1.0
1.0,-0.72104865,-0.99995,0.99591166
0.75520617,-0.973538,-1.0,-1.0
0.9997495,-0.9858699,-1.0,-1.0
-1.0,0.91523343,-1.0,-1.0
1.0,-0.6313666,-0.9997147,0.9978225
1.0,-0.8310358,-1.0,-0.9707369
0.9993323,-0.8918009,-1.0,-1.0
0.9949752,-0.97387266,-1.0,-1.0
1.0,-0.7208779,-0.9998923,0.9979806
0.9970426,-0.8341417,-1.0,-1.0
-0.99998987,-0.99966586,-1.0,-1.0
1.0,-0.7908987,-1.0,-0.9949802
1.0,-0.7775728,-1.0,-0.9892024
1.0,-0.6675111,-0.9998339,0.9978414
0.9905332,-0.95562154,-1.0,-1.0
-1.0,0.95113266,-1.0,-1.0
0.99999684,-0.20464407,-1.0,-1.0
0.9999902,-0.19827454,-1.0,-1.0
-1.0,-0.17297705,-1.0,-1.0
