h_3_0,h_3_1,h_3_2,h_3_3
-0.934924,0.63506854,0.015291711,-0.99999595
0.18356727,-0.6156075,-0.8547481,0.99997115
-0.33348653,0.34229216,0.44398966,-0.9999998
-0.20387408,0.020280994,0.073397815,-0.9999973
-0.159719,0.037281737,0.06935766,-0.9999995
-0.93483317,0.61720234,-0.013023705,-0.99999225
-0.8738436,-0.08471622,-0.74648666,-0.95392936
-0.9277738,0.46315506,-0.25382683,-0.99982375
-0.5850712,-0.4806347,-0.8654044,0.9597309
0.19053185,-0.6198809,-0.8569188,0.9999721
0.074219756,-0.30451375,-0.4035389,-0.9999993
-0.15992899,0.008419978,0.040820584,-0.99999905
-0.8565999,-0.19204694,-0.80148625,-0.91900015
-0.18740176,-0.025473705,0.012699159,-0.999996
-0.060645405,-0.14044255,-0.15214583,-0.99999833
-0.6033476,-0.50509953,-0.88617647,0.83750707
0.2819973,-0.6869408,-0.89139044,0.99998283
-0.34889233,0.3725086,0.47722545,-0.9999998
-0.92337614,0.51319534,-0.15862998,-0.9999515
-0.18284345,-0.0048653237,0.027894475,-0.9999979
-0.15653132,0.089300185,0.11860486,-1.0
-0.9387078,0.64783823,0.05796504,-0.9999933
-0.940521,0.654631,0.08645004,-0.99999076
0.1222992,-0.36107874,-0.46854785,-0.9999992
-0.861622,-0.21267593,-0.80979174,-0.8702096
-0.9157026,0.4808567,-0.15818486,-0.99986875
-0.053661983,-0.09763624,-0.12092808,-0.9999997
-0.20616546,0.014888208,0.0598172,-0.9999973
-0.92609334,0.49276844,-0.2175332,-0.9999294
-0.85067594,-0.2113558,-0.80751956,-0.88400644
-0.9373805,0.6235052,-0.011702099,-0.99999225
-0.1869167,-0.028017454,0.014022592,-0.99999535
-0.5266437,-0.4867238,-0.8602592,0.9794921
-0.369696,0.4079799,0.5168766,-1.0
-0.8607986,-0.07217154,-0.74201035,-0.97806835
-0.8477954,-0.18705276,-0.7973668,-0.92557067
-0.84558356,-0.15025592,-0.777172,-0.9392148
-0.67455065,-0.41511694,-0.847067,0.8813657
-0.87055933,-0.15329641,-0.77967054,-0.88855463
-0.8458667,-0.23438095,-0.8174143,-0.86391264
-0.8745479,-0.10315464,-0.75704616,-0.9459984
-0.9369673,0.60023844,-0.030192,-0.999977
-0.8584953,-0.085680425,-0.74934447,-0.975909
-0.3289749,0.3383886,0.43826914,-0.9999998
-0.864973,-0.20080866,-0.80469185,-0.87784815
-0.8632541,-0.21084037,-0.8097182,-0.8775914
-0.32872474,0.33580697,0.4359795,-0.9999998
-0.8726139,-0.13378026,-0.7747061,-0.9399879
-0.049746066,-0.14176752,-0.1597139,-0.99999875
-0.3464193,0.36632898,0.4711797,-0.9999999
-0.9261145,0.4723296,-0.25042072,-0.99988675
-0.9204916,0.4521092,-0.23842771,-0.9997802
-0.93644524,0.6381897,0.017839512,-0.9999956
-0.935815,0.5591732,-0.1131541,-0.9999497
-0.5804766,-0.46746698,-0.8578017,0.9639346
-0.9354855,0.50505024,-0.12550525,-0.99927205
-0.36040664,0.39597723,0.50229496,-0.99999994
-0.8608207,-0.20926154,-0.808726,-0.8835515
-0.9318678,0.5762182,-0.04577053,-0.9999652
-0.15914844,0.016543157,0.032157198,-0.9999994
-0.045378514,-0.10617627,-0.13146475,-0.99999964
-0.864046,-0.118059725,-0.7690569,-0.9687984
-0.93476117,0.48889324,-0.21014221,-0.99969774
-0.17517684,0.0029522243,0.04512284,-0.99999803
-0.9357883,0.5972853,-0.0335136,-0.99997854
-0.8486519,-0.2312691,-0.81605184,-0.8589387
-0.3778811,0.42149252,0.5318782,-0.99999994
-0.5746047,-0.5232529,-0.88567686,0.952204
-0.339773,0.36028272,0.4623298,-0.9999999
-0.93436927,0.57468885,-0.048096135,-0.9999441
-0.16777566,0.02954777,0.06567769,-0.9999993
-0.14989758,0.07912273,0.105314896,-0.9999999
-0.9393824,0.5566276,-0.09348305,-0.9998673
-0.38509262,0.43119588,0.5430887,-0.9999998
-0.85152924,-0.23048396,-0.8135355,-0.808779
-0.9326819,0.51938903,-0.16891496,-0.99989104
-0.67921,-0.48838827,-0.88503104,0.80705094
-0.5607907,-0.52891743,-0.8863121,0.96104944
-0.8651449,-0.13262105,-0.7747614,-0.95533174
-0.85822415,-0.18746439,-0.7991455,-0.9172779
-0.095945284,-0.035114996,-0.038512453,-0.99999964
-0.9350874,0.5025274,-0.19611305,-0.9997995
-0.083879784,-0.07040955,-0.08184288,-0.99999946
-0.8544698,-0.119956255,-0.7656454,-0.9624704
-0.5772205,-0.52172476,-0.8858925,0.94516236
-0.13540284,0.056199953,0.075807214,-1.0
-0.15593971,0.037923835,0.060034793,-0.99999964
-0.9365827,0.55644935,-0.116986185,-0.99994266
-0.82654697,-0.23002258,-0.8118202,-0.87357336
-0.06987612,-0.096872434,-0.10596191,-0.9999992
-0.86595,-0.12675993,-0.7654511,-0.9208671
-0.3597177,0.39500427,0.5011294,-0.9999998
-0.85304916,-0.2095445,-0.8074464,-0.88865566
-0.5977044,-0.51440483,-0.8845369,0.9379918
-0.933797,0.5685747,-0.071572274,-0.99995387
-0.934222,0.47224122,-0.19245613,-0.99907553
-0.9338752,0.48180124,-0.21945044,-0.9996742
-0.8580874,-0.18083075,-0.7974681,-0.9340845
-0.9320988,0.45979524,-0.25855985,-0.9996357
-0.15108857,0.08055461,0.107431,-0.9999999
-0.9286876,0.6148778,0.029033117,-0.9999928
-0.63981396,-0.42909852,-0.847156,0.93170863
-0.08446712,-0.05613322,-0.06766246,-0.99999964
0.17917247,-0.5841536,-0.8329145,0.9999744
-0.93954366,0.5578262,-0.0966183,-0.9998775
