h_0_0,h_0_1,h_0_2,h_0_3,h_0_4,h_0_5,h_0_6,h_0_7,h_0_8,h_0_9,h_0_10,h_0_11,h_0_12,h_0_13,h_0_14,h_0_15,h_0_16,h_0_17,h_0_18,h_0_19,h_0_20,h_0_21,h_0_22,h_0_23,h_0_24,h_0_25,h_0_26,h_0_27,h_0_28,h_0_29
0.52103746,0.37030774,0.51143664,0.3597879,0.46014264,0.34053126,0.28139645,0.4385686,0.47070706,0.2259899,0.12391816,0.11339728,0.10856146,0.08032902,0.1875786,0.19127588,0.06335858,0.28035614,0.08805651,0.08433868,0.46780506,0.35687634,0.43672493,0.2860303,0.50868386,0.33589467,0.26365814,0.6783505,0.2946974,0.19670734
0.6298926,0.15657762,0.6309861,0.4892895,0.43035117,0.34789276,0.46391752,0.51838964,0.37828282,0.1868155,0.2338222,0.09306489,0.22056259,0.16368757,0.33235884,0.16791841,0.14363636,0.3570752,0.13617943,0.14579965,0.51974386,0.123933904,0.5069476,0.3415749,0.4373638,0.17241514,0.31948882,0.5584192,0.15750049,0.14259478
0.09555587,0.1586067,0.08686338,0.043605514,0.1572628,0.036132753,0.008624649,0.017256461,0.36767676,0.38689974,0.0228499,0.20880482,0.018234935,0.0055790273,0.19294965,0.019759966,0.009295454,0.06577003,0.26915067,0.04346835,0.062931344,0.21455224,0.05224364,0.024651002,0.18120584,0.02428423,0.0117571885,0.04773196,0.281096,0.15085924
0.24747977,0.1481231,0.24179393,0.13510074,0.2568385,0.1805104,0.16023898,0.12594433,0.2959596,0.24389216,0.05616513,0.1040267,0.063139044,0.024576109,0.09151171,0.21035239,0.10969697,0.2059102,0.15939663,0.12876746,0.18498755,0.19376333,0.1854674,0.084717855,0.20755464,0.20937994,0.2456869,0.31408936,0.21919969,0.21776204
0.25363246,0.17720664,0.23840785,0.13811241,0.3086576,0.08076192,0.049414247,0.102087475,0.2580808,0.14995788,0.09842477,0.12102193,0.086933985,0.04360868,0.20358977,0.046857633,0.03300505,0.1951127,0.30700174,0.018559208,0.18676628,0.12873134,0.16783704,0.08550432,0.22208281,0.038953733,0.039305113,0.1647079,0.14449044,0.030827759
0.3728998,0.24450457,0.35312003,0.22489926,0.33050466,0.15753634,0.07839738,0.14299205,0.2590909,0.1489048,0.06927395,0.06809141,0.04028648,0.031972475,0.13743754,0.108135305,0.036893938,0.15686683,0.107333824,0.043986566,0.29811454,0.22707888,0.2584292,0.14557117,0.3343459,0.123904884,0.09744409,0.27391753,0.18923713,0.08677686
0.3104264,0.15725398,0.30177596,0.17934252,0.40769163,0.18989633,0.1561387,0.23762426,0.41666666,0.16217354,0.05736013,0.094678216,0.061301418,0.03130008,0.22942516,0.092738904,0.06027778,0.24910021,0.16769855,0.04854691,0.25542513,0.19296375,0.24548036,0.12927644,0.4809483,0.14554045,0.19089457,0.4426117,0.2783363,0.11511216
0.61096126,0.35678053,0.5991984,0.45408273,0.4610454,0.34237164,0.3305998,0.46873757,0.37474748,0.25105307,0.14354518,0.11348568,0.13650285,0.09880126,0.11476357,0.15605192,0.077070706,0.22314832,0.037822932,0.086238824,0.5620776,0.35207888,0.5482843,0.35902476,0.46575975,0.29456395,0.33426517,0.55429554,0.19396807,0.23822641
0.6421979,0.37707135,0.64964414,0.49395546,0.46917036,0.47395864,0.48851922,0.65705764,0.5388889,0.26432183,0.21260184,0.13921057,0.18607171,0.15124823,0.09739266,0.17955959,0.101136364,0.26917976,0.16319582,0.061986096,0.582355,0.358742,0.5467902,0.39908573,0.36736447,0.27768236,0.3540735,0.73814434,0.2980485,0.13544536
0.23706754,0.5133581,0.2337088,0.12632026,0.454726,0.22329919,0.12748359,0.21242544,0.3838384,0.3904802,0.054608002,0.18648338,0.05220751,0.02351148,0.22459802,0.13517289,0.058939394,0.31540063,0.18373951,0.09601592,0.17965136,0.48880598,0.16967976,0.08078549,0.39576042,0.15029445,0.12851438,0.41305843,0.20382416,0.1801784
